날짜,시작,시작시간,종료,종료시간,장소,원인,피해면적(ha),SIG_KOR_NM,경도,위도,피해면적평균
2021-04-26,17:22:00,2021-04-26 17:22,19:30:00,2021-04-26 19:30,경남 함양 옥산,입산자실화,0.1,경남 함양,127.7274194,35.51746944,0.612157
2021-04-25,21:57:00,2021-04-25 21:57,2:48:00,2021-04-25 2:48,경남 합천 외곡,입산자실화,0.3,경남 합천,128.1679306,35.56361667,21.828
2021-04-22,13:45:00,2021-04-22 13:45,14:30:00,2021-04-22 14:30,경남 함양 도천,입산자실화,0.1,경남 함양,127.7274194,35.51746944,0.612157
2021-03-26,12:50:00,2021-03-26 12:50,16:24:00,2021-03-26 16:24,경남 거창 개명,기타,1,경남 거창,127.9116556,35.683625,0.115455
2021-03-25,13:20:00,2021-03-25 13:20,14:40:00,2021-03-25 14:40,경남 창녕 주매,농산부산물소각,0.1,경남 창녕,128.4945333,35.54153611,0.652
2021-03-23,14:01:00,2021-03-23 14:01,15:24:00,2021-03-23 15:24,경남 밀양 도곡,농산부산물소각,0.03,경남 밀양,128.7489444,35.50077778,28.37519
2021-03-10,15:33:00,2021-03-10 15:33,16:55:00,2021-03-10 16:55,경남 통영 도선,농산부산물소각,0.01,경남 통영,128.4352778,34.85125833,0.075455
2021-02-21,17:12:00,2021-02-21 17:12,20:05:00,2021-02-21 20:05,경남 거창 중유,건축물화재비화,0.1,경남 거창,127.9116556,35.683625,0.115455
2021-02-21,14:41:00,2021-02-21 14:41,15:08:00,2021-02-21 15:08,경남 하동 미점,담뱃불실화,10,경남 하동,127.7534306,35.06420278,5.1535
2021-02-21,10:45:00,2021-02-21 10:45,14:30:00,2021-02-21 14:30,경남 하동 비파,기타,0.5,경남 하동,127.7534306,35.06420278,5.1535
2021-02-16,20:24:00,2021-02-16 20:24,21:30:00,2021-02-16 21:30,경남 김해 봉림,기타,0.02,경남 김해,128.8916667,35.22550556,0.324
2021-02-12,15:36:00,2021-02-12 15:36,17:00:00,2021-02-12 17:00,경남 합천 나대,기타,0.02,경남 합천,128.1679306,35.56361667,21.828
2021-02-10,10:37:00,2021-02-10 10:37,11:45:00,2021-02-10 11:45,경남 하동 우계,쓰레기소각,0.01,경남 하동,127.7534306,35.06420278,5.1535
2021-02-09,15:32:00,2021-02-09 15:32,17:20:00,2021-02-09 17:20,경남 하동 우복,농산부산물소각,0.05,경남 하동,127.7534306,35.06420278,5.1535
2021-02-08,11:20:00,2021-02-08 11:20,12:30:00,2021-02-08 12:30,경남 함안 부봉,담뱃불실화,0.01,경남 함안,128.4087083,35.26940556,0.351538
2021-02-06,1:51:00,2021-02-06 1:51,4:30:00,2021-02-06 4:30,경남 양산 내석,건축물화재비화,0.01,경남 양산,129.0394111,35.33192778,0.313824
2021-04-19,11:04:00,2021-04-19 11:04,14:50:00,2021-04-19 14:50,경남 양산 화제,입산자실화,0.08,경남 양산,129.0394111,35.33192778,0.313824
2021-04-19,9:48:00,2021-04-19 9:48,10:30:00,2021-04-19 10:30,경남 김해 의전,기타,0.01,경남 김해,128.8916667,35.22550556,0.324
2021-04-07,13:55:00,2021-04-07 13:55,15:04:00,2021-04-07 15:04,경남 진주 정평,담뱃불실화,0.01,경남 진주,128.11,35.17703333,0.096875
2021-04-02,12:54:00,2021-04-02 12:54,14:00:00,2021-04-02 14:00,경남 창녕 모전,농산부산물소각,0.02,경남 창녕,128.4945333,35.54153611,0.652
2021-12-29,14:20:00,2021-12-29 14:20,17:30:00,2021-12-29 17:30,경남 남해 가인,기타,0.5,경남 남해,127.8924,34.8376,0.142222
2021-12-15,13:09:00,2021-12-15 13:09,13:45:00,2021-12-15 13:45,경남 함양 양백,기타,0.06,경남 함양,127.7274194,35.51746944,0.612157
2021-12-14,15:52:00,2021-12-14 15:52,16:20:00,2021-12-14 16:20,경남 고성 영부,건축물화재비화,0.01,경남 고성,128.3245417,34.9699,0.121765
2021-12-13,15:03:00,2021-12-13 15:03,15:54:00,2021-12-13 15:54,경남 산청 간공,담뱃불실화,0.01,경남 산청,127.8756194,35.41249167,0.393421
2021-12-11,15:20:00,2021-12-11 15:20,17:00:00,2021-12-11 17:00,경남 고성 금산,건축물화재비화,0.04,경남 고성,128.3245417,34.9699,0.121765
2021-12-02,13:30:00,2021-12-02 13:30,15:31:00,2021-12-02 15:31,경남 거제 갈곶,입산자실화,0.03,경남 거제,128.6233556,34.87735833,0.062222222
2021-11-26,12:52:00,2021-11-26 12:52,13:49:00,2021-11-26 13:49,경남 진주 가산,담뱃불실화,0.01,경남 진주,128.11,35.17703333,0.096875
2021-11-23,13:25:00,2021-11-23 13:25,13:50:00,2021-11-23 13:50,경남 김해 신용,기타,0.01,경남 김해,128.8916667,35.22550556,0.324
2021-11-16,11:47:00,2021-11-16 11:47,12:14:00,2021-11-16 12:14,경남 거제 아주,기타,0.01,경남 거제,128.6233556,34.87735833,0.062222
2020-04-06,14:04:00,2020-04-06 14:04,15:25:00,2020-04-06 15:25,경남 밀양 연금,입산자실화,0.2,경남 밀양,128.7489444,35.50077778,28.37519
2020-04-06,13:42:00,2020-04-06 13:42,15:10:00,2020-04-06 15:10,경남 진주 유곡,기타,0.01,경남 진주,128.11,35.17703333,0.096875
2020-04-04,15:48:00,2020-04-04 15:48,16:50:00,2020-04-04 16:50,경남 사천 가산,담뱃불실화,0.06,경남 사천,128.0667778,35.00028333,0.08
2020-04-04,14:50:00,2020-04-04 14:50,15:45:00,2020-04-04 15:45,경남 합천 노양,입산자실화,0.05,경남 합천,128.1679306,35.56361667,21.828
2020-03-25,19:51:00,2020-03-25 19:51,22:00:00,2020-03-25 22:00,경남 양산 석계,입산자실화,0.05,경남 양산,129.0394111,35.33192778,0.313824
2020-03-23,23:22:00,2020-03-23 23:22,2:10:00,2020-03-23 2:10,경남 산청 문대,입산자실화,0.05,경남 산청,127.8756194,35.41249167,0.393421
2021-02-04,13:02:00,2021-02-04 13:02,13:22:00,2021-02-04 13:22,경남 통영 수월,기타,0.01,경남 통영,128.4352778,34.85125833,0.075455
2021-02-03,15:30:00,2021-02-03 15:30,17:00:00,2021-02-03 17:00,경남 고성 영산,건축물화재비화,0.05,경남 고성,128.3245417,34.9699,0.121765
2021-01-29,0:40:00,2021-01-29 0:40,4:00:00,2021-01-29 4:00,경남 합천 덕봉,담뱃불실화,0.1,경남 합천,128.1679306,35.56361667,21.828
2021-01-15,13:45:00,2021-01-15 13:45,15:17:00,2021-01-15 15:17,경남 양산 상삼,쓰레기소각,0.01,경남 양산,129.0394111,35.33192778,0.313824
